frame,time_s,face_lm33,face_lm133,face_lm362,face_lm263,face_lm61,face_lm291,face_lm105,face_lm334,left_hand_lm00,left_hand_lm01,left_hand_lm02,left_hand_lm03,left_hand_lm04,left_hand_lm05,left_hand_lm06,left_hand_lm07,left_hand_lm08,left_hand_lm09,left_hand_lm10,left_hand_lm11,left_hand_lm12,left_hand_lm13,left_hand_lm14,left_hand_lm15,left_hand_lm16,left_hand_lm17,left_hand_lm18,left_hand_lm19,left_hand_lm20,right_hand_lm00,right_hand_lm01,right_hand_lm02,right_hand_lm03,right_hand_lm04,right_hand_lm05,right_hand_lm06,right_hand_lm07,right_hand_lm08,right_hand_lm09,right_hand_lm10,right_hand_lm11,right_hand_lm12,right_hand_lm13,right_hand_lm14,right_hand_lm15,right_hand_lm16,right_hand_lm17,right_hand_lm18,right_hand_lm19,right_hand_lm20
26,0.86667,[0.487532 0.219118 0.006332],[0.505328 0.221136 0.003574],[0.528275 0.222659 0.003893],[0.546152 0.22267 0.007137],[0.500315 0.28326 0.000536],[0.53293 0.283573 0.000949],[0.491168 0.198484 -0.002231],[0.54291 0.202311 -0.001619],[0.506998 0.470629 0.0],[0.507708 0.444543 -0.00166],[0.497071 0.424095 -0.001714],[0.484939 0.415773 -0.002412],[0.478274 0.405625 -0.003324],[0.475482 0.416318 0.002869],[0.461483 0.400139 -0.000341],[0.451675 0.389854 -0.004048],[0.443946 0.382306 -0.006537],[0.468269 0.426494 0.0014],[0.452861 0.410533 -0.000679],[0.441642 0.400541 -0.004134],[0.432093 0.391982 -0.00655],[0.463207 0.439817 -0.000737],[0.448442 0.42601 -0.002794],[0.438522 0.417359 -0.004893],[0.430399 0.409869 -0.006366],[0.460067 0.457413 -0.003129],[0.449327 0.449307 -0.004988],[0.44267 0.442956 -0.005274],[0.437175 0.437201 -0.00508],[0.438874 0.746649 -0.0],[0.464393 0.744227 -0.004169],[0.483021 0.762367 -0.004216],[0.495297 0.782915 -0.003292],[0.505236 0.798156 -0.001333],[0.472474 0.795639 -0.001873],[0.492955 0.820474 -0.003591],[0.506534 0.827099 -0.004664],[0.515779 0.828699 -0.004584],[0.463626 0.805867 -0.000396],[0.485805 0.830878 -0.001641],[0.501205 0.835696 -0.002338],[0.511557 0.83385 -0.002186],[0.459095 0.809763 0.000578],[0.480545 0.832587 -0.001201],[0.495115 0.83735 -0.002031],[0.505458 0.836151 -0.001784],[0.458956 0.809743 0.001276],[0.476593 0.829475 -5.3e-05],[0.489177 0.835692 -8.3e-05],[0.498975 0.836131 0.000618]
27,0.9,[0.488099 0.218952 0.00605],[0.505787 0.220628 0.00354],[0.5285 0.222009 0.004206],[0.546149 0.222142 0.00763],[0.501313 0.283569 -0.000121],[0.53305 0.283793 0.000811],[0.49169 0.198156 -0.002167],[0.542944 0.20165 -0.000894],[0.50832 0.475456 0.0],[0.508615 0.446428 -0.000759],[0.496968 0.42654 -0.000225],[0.484063 0.418516 -0.000231],[0.475792 0.411339 -0.000284],[0.475871 0.423477 0.003286],[0.459726 0.410959 0.001388],[0.448839 0.402884 -0.001263],[0.440172 0.397193 -0.003144],[0.468123 0.436682 0.002015],[0.451407 0.42256 0.001118],[0.440225 0.413188 -0.001209],[0.430954 0.404659 -0.002979],[0.46298 0.452045 0.000254],[0.447351 0.438662 -0.000425],[0.437585 0.429348 -0.00194],[0.429853 0.421201 -0.003241],[0.460229 0.469764 -0.001687],[0.448571 0.461733 -0.002167],[0.440653 0.455897 -0.002119],[0.434251 0.450803 -0.001943],[0.438873 0.746059 -0.0],[0.464185 0.743611 -0.004397],[0.48254 0.761535 -0.004682],[0.494876 0.782232 -0.003999],[0.505164 0.797414 -0.002264],[0.472363 0.795383 -0.001925],[0.492413 0.819949 -0.003771],[0.505948 0.826566 -0.005062],[0.515213 0.828119 -0.005163],[0.463534 0.805755 -0.000429],[0.4856 0.830396 -0.001805],[0.50083 0.835347 -0.002687],[0.511057 0.833403 -0.002675],[0.459024 0.809749 0.000536],[0.480483 0.831912 -0.0014],[0.494921 0.836913 -0.002383],[0.505134 0.835797 -0.002236],[0.458847 0.809985 0.001209],[0.476495 0.829074 -0.00026],[0.489057 0.835241 -0.000367],[0.498774 0.835623 0.000294]
28,0.93333,[0.487531 0.219607 0.006257],[0.505341 0.221275 0.003684],[0.528277 0.222541 0.004317],[0.546061 0.222504 0.00776],[0.501147 0.283734 -0.000425],[0.532461 0.283942 0.000485],[0.491272 0.198556 -0.001887],[0.542798 0.201706 -0.000673],[0.507501 0.475038 0.0],[0.507782 0.446612 -0.002282],[0.497253 0.426956 -0.00311],[0.484621 0.419994 -0.004219],[0.476358 0.412541 -0.005427],[0.475972 0.424899 -0.000577],[0.460922 0.411683 -0.004031],[0.45035 0.403189 -0.007325],[0.441608 0.397351 -0.009579],[0.468672 0.437892 -0.001877],[0.451942 0.423271 -0.004718],[0.440598 0.413575 -0.007544],[0.430812 0.405448 -0.009409],[0.464082 0.453027 -0.003629],[0.447847 0.439309 -0.006207],[0.438026 0.429744 -0.007996],[0.430115 0.421508 -0.009167],[0.462093 0.470591 -0.005602],[0.450318 0.462773 -0.007634],[0.442564 0.456342 -0.007984],[0.43641 0.450261 -0.007888],[0.438275 0.745909 -0.0],[0.463533 0.742956 -0.004552],[0.482229 0.760787 -0.004841],[0.494851 0.781596 -0.004169],[0.504929 0.79717 -0.002472],[0.472224 0.794661 -0.001993],[0.49239 0.818967 -0.003901],[0.505734 0.82592 -0.005207],[0.514881 0.82802 -0.005361],[0.463291 0.805109 -0.000456],[0.485511 0.829267 -0.00199],[0.500695 0.834408 -0.002965],[0.510894 0.832973 -0.003024],[0.458552 0.809213 0.000534],[0.480158 0.831313 -0.001637],[0.494736 0.83641 -0.002672],[0.505014 0.835636 -0.002531],[0.458025 0.809524 0.001227],[0.475827 0.828645 -0.000444],[0.488493 0.834794 -0.00061],[0.498179 0.835359 2.8e-05]
29,0.96667,[0.487208 0.220612 0.0059],[0.504852 0.22217 0.003285],[0.527488 0.222997 0.003679],[0.545065 0.222377 0.006871],[0.50102 0.284204 0.000261],[0.531808 0.28422 0.000848],[0.490483 0.199847 -0.00246],[0.541739 0.20192 -0.001684],[0.504993 0.476745 0.0],[0.507516 0.449895 -0.003967],[0.498775 0.42879 -0.005571],[0.485827 0.421736 -0.007093],[0.476341 0.413824 -0.008671],[0.475144 0.424072 -0.002136],[0.46012 0.411345 -0.006117],[0.449362 0.40303 -0.009709],[0.440648 0.397201 -0.012056],[0.4676 0.437018 -0.002574],[0.451263 0.42293 -0.005584],[0.439827 0.413605 -0.008537],[0.430053 0.405642 -0.010476],[0.462876 0.45192 -0.003595],[0.447412 0.438918 -0.006321],[0.437687 0.430211 -0.008145],[0.429736 0.422662 -0.009284],[0.460775 0.469396 -0.004993],[0.449543 0.46201 -0.007324],[0.442212 0.456065 -0.00788],[0.436085 0.45045 -0.007812],[0.43808 0.744596 -0.0],[0.463371 0.742148 -0.004516],[0.482405 0.760334 -0.00499],[0.494919 0.780809 -0.00456],[0.50452 0.796084 -0.003157],[0.471706 0.793411 -0.002727],[0.492025 0.81792 -0.005172],[0.505353 0.824874 -0.006766],[0.514633 0.826729 -0.007059],[0.462869 0.803396 -0.001498],[0.484933 0.827642 -0.003692],[0.500081 0.832864 -0.004997],[0.510454 0.831248 -0.005188],[0.458266 0.80732 -0.000787],[0.479777 0.829451 -0.003516],[0.49441 0.834703 -0.004761],[0.504804 0.83402 -0.004649],[0.457938 0.807401 -0.000346],[0.475962 0.826885 -0.002493],[0.488786 0.833071 -0.002789],[0.498523 0.833539 -0.002147]
30,1.0,[0.488452 0.219607 0.005327],[0.505853 0.221786 0.002765],[0.527764 0.223343 0.003147],[0.545349 0.223136 0.006289],[0.500765 0.283956 0.000883],[0.531463 0.284944 0.001462],[0.491878 0.19923 -0.003258],[0.542558 0.202658 -0.002434],[0.506807 0.473877 0.0],[0.50755 0.44683 -0.005294],[0.498235 0.426302 -0.007345],[0.484864 0.419503 -0.009138],[0.474727 0.412889 -0.010918],[0.474425 0.424586 -0.0032],[0.459851 0.412365 -0.007802],[0.449459 0.404266 -0.012078],[0.44068 0.398286 -0.014915],[0.46687 0.438184 -0.003364],[0.450892 0.423894 -0.006755],[0.43974 0.413994 -0.010016],[0.430215 0.405554 -0.012243],[0.462463 0.453479 -0.004316],[0.446882 0.440007 -0.007423],[0.437164 0.430835 -0.009608],[0.429303 0.423155 -0.011021],[0.460997 0.470765 -0.005785],[0.449152 0.462694 -0.008508],[0.441374 0.456507 -0.009368],[0.43485 0.451064 -0.009572],[0.438411 0.7438 -0.0],[0.46334 0.741201 -0.004291],[0.481614 0.759472 -0.004655],[0.493705 0.77997 -0.004128],[0.503619 0.794767 -0.002632],[0.471925 0.792444 -0.002447],[0.491884 0.816999 -0.004797],[0.505172 0.823897 -0.00637],[0.514397 0.825797 -0.006628],[0.462955 0.802653 -0.001139],[0.485017 0.82697 -0.00292],[0.500217 0.831876 -0.003987],[0.510377 0.830315 -0.004079],[0.458048 0.806578 -0.000316],[0.479422 0.828915 -0.002523],[0.494037 0.83355 -0.003397],[0.504199 0.832545 -0.00315],[0.457305 0.806403 0.000215],[0.474773 0.826047 -0.00143],[0.487484 0.831802 -0.001429],[0.497019 0.832108 -0.000646]
31,1.03333,[0.486938 0.220156 0.005695],[0.504744 0.222 0.003319],[0.527317 0.223229 0.004161],[0.544957 0.222815 0.007671],[0.501144 0.283666 -0.000712],[0.531054 0.283548 0.000412],[0.490532 0.199052 -0.002174],[0.542082 0.201844 -0.00052],[0.503849 0.473088 0.0],[0.504731 0.446199 -0.004829],[0.496179 0.426069 -0.006819],[0.484199 0.419553 -0.0087],[0.474358 0.414171 -0.010618],[0.47206 0.421512 -0.002387],[0.458002 0.409673 -0.006634],[0.448352 0.401977 -0.010699],[0.440287 0.396307 -0.013344],[0.464759 0.434598 -0.002747],[0.449023 0.420969 -0.005799],[0.438467 0.412198 -0.008989],[0.429554 0.404762 -0.01109],[0.460698 0.449959 -0.003862],[0.445596 0.437538 -0.006534],[0.436521 0.429073 -0.008488],[0.429207 0.421605 -0.009752],[0.459659 0.46787 -0.005484],[0.448114 0.460989 -0.007727],[0.440633 0.45546 -0.008137],[0.434466 0.450353 -0.008001],[0.437811 0.742975 -0.0],[0.462919 0.740094 -0.004728],[0.481538 0.75786 -0.005523],[0.493842 0.778186 -0.005407],[0.503496 0.793313 -0.004336],[0.471587 0.79081 -0.003373],[0.492098 0.814971 -0.006231],[0.505614 0.822142 -0.00812],[0.515024 0.824285 -0.008591],[0.462659 0.801116 -0.002191],[0.485038 0.825002 -0.004586],[0.500441 0.830239 -0.005892],[0.510816 0.828986 -0.006083],[0.457828 0.805227 -0.001537],[0.479524 0.827224 -0.004336],[0.494443 0.832258 -0.005391],[0.504839 0.831592 -0.005155],[0.45728 0.805323 -0.001206],[0.475209 0.824662 -0.003384],[0.488275 0.830729 -0.0036],[0.498099 0.831183 -0.002893]
32,1.06667,[0.487348 0.219306 0.005546],[0.504985 0.221364 0.003009],[0.526972 0.222483 0.003406],[0.544662 0.221704 0.006533],[0.500036 0.284097 0.000407],[0.530669 0.284307 0.001044],[0.490689 0.197983 -0.002622],[0.541775 0.200362 -0.001778],[0.506535 0.474127 0.0],[0.506872 0.446335 -0.002563],[0.496166 0.42714 -0.003441],[0.482985 0.42002 -0.004559],[0.47351 0.412347 -0.005741],[0.475523 0.423953 -5e-05],[0.460814 0.411199 -0.003266],[0.450652 0.403614 -0.00655],[0.442325 0.398482 -0.008816],[0.468109 0.436756 -0.001121],[0.451812 0.422598 -0.003511],[0.4406 0.414171 -0.006289],[0.430839 0.407393 -0.008219],[0.463572 0.451697 -0.002754],[0.447627 0.438368 -0.004957],[0.437738 0.430294 -0.006737],[0.429645 0.423719 -0.008003],[0.461693 0.46903 -0.004639],[0.450202 0.460916 -0.006352],[0.442627 0.45509 -0.006625],[0.436305 0.45005 -0.006551],[0.437239 0.739856 -0.0],[0.462104 0.736321 -0.00529],[0.480597 0.753688 -0.006493],[0.492971 0.774513 -0.0066],[0.503165 0.78992 -0.005778],[0.470298 0.786449 -0.00534],[0.49099 0.811524 -0.008587],[0.504745 0.81864 -0.01044],[0.51427 0.820596 -0.010832],[0.461522 0.796855 -0.004034],[0.484203 0.822004 -0.006959],[0.499894 0.827354 -0.008199],[0.510639 0.826014 -0.008275],[0.457101 0.800983 -0.0032],[0.479286 0.823986 -0.006453],[0.494422 0.82946 -0.007464],[0.505184 0.829164 -0.007137],[0.457177 0.801048 -0.002688],[0.475749 0.821253 -0.005284],[0.488949 0.827678 -0.005542],[0.499073 0.828301 -0.004816]
33,1.1,[0.486679 0.219946 0.005111],[0.504471 0.221793 0.00298],[0.526713 0.223197 0.004137],[0.544225 0.222986 0.007794],[0.499829 0.283136 -0.00073],[0.530028 0.283686 0.000943],[0.490382 0.198479 -0.002632],[0.541658 0.201529 -0.000345],[0.507945 0.474329 0.0],[0.506461 0.444189 -0.001367],[0.49434 0.425068 -0.001461],[0.480461 0.41827 -0.001995],[0.469948 0.413683 -0.002716],[0.478013 0.423791 0.001133],[0.463338 0.412295 -0.001779],[0.453495 0.405272 -0.005055],[0.445525 0.400452 -0.007341],[0.470135 0.436753 -0.000286],[0.453382 0.423904 -0.002203],[0.442306 0.415858 -0.004921],[0.433015 0.409412 -0.006904],[0.465082 0.451945 -0.002164],[0.448719 0.439233 -0.003928],[0.439519 0.431472 -0.005582],[0.43219 0.425286 -0.006857],[0.463165 0.468993 -0.004184],[0.451679 0.460773 -0.005606],[0.444402 0.455487 -0.005673],[0.438352 0.451289 -0.005524],[0.435479 0.736358 -0.0],[0.46061 0.731754 -0.005485],[0.478866 0.747967 -0.006704],[0.491108 0.768419 -0.006831],[0.501235 0.783892 -0.006018],[0.469348 0.780351 -0.004943],[0.489475 0.804452 -0.007568],[0.502488 0.812773 -0.009006],[0.511727 0.816825 -0.009405],[0.460767 0.791753 -0.003627],[0.482687 0.816606 -0.006218],[0.497908 0.822542 -0.007126],[0.508495 0.822052 -0.007073],[0.456491 0.796798 -0.002831],[0.478003 0.819183 -0.00582],[0.492548 0.824971 -0.006618],[0.502976 0.825237 -0.006262],[0.456736 0.797485 -0.002431],[0.474648 0.816566 -0.004837],[0.487325 0.822963 -0.005066],[0.497341 0.8241 -0.004432]
34,1.13333,[0.486356 0.22028 0.005607],[0.504028 0.222149 0.00336],[0.526084 0.223345 0.00432],[0.543673 0.222825 0.00783],[0.499654 0.283769 -0.000851],[0.529711 0.283917 0.000485],[0.489749 0.198986 -0.001991],[0.54091 0.201552 -0.000101],[0.512637 0.470871 0.0],[0.509645 0.443073 -0.003779],[0.497191 0.424924 -0.004988],[0.483603 0.41905 -0.006412],[0.473315 0.414007 -0.008064],[0.480323 0.424668 -0.002287],[0.465212 0.412797 -0.007074],[0.454979 0.405816 -0.011503],[0.446135 0.400801 -0.014583],[0.473176 0.438271 -0.003658],[0.456184 0.425426 -0.007639],[0.444895 0.416925 -0.01159],[0.434965 0.409491 -0.014376],[0.469392 0.453846 -0.005726],[0.452448 0.442056 -0.009604],[0.442515 0.43396 -0.012232],[0.434137 0.426515 -0.013999],[0.468405 0.471434 -0.008145],[0.45562 0.463586 -0.011577],[0.447664 0.457751 -0.012549],[0.44095 0.4521 -0.012954],[0.433974 0.726651 -0.0],[0.458673 0.723352 -0.005105],[0.477734 0.739513 -0.006132],[0.490037 0.759319 -0.006194],[0.500065 0.77482 -0.005258],[0.468187 0.770132 -0.003641],[0.487866 0.793333 -0.006092],[0.500514 0.802309 -0.007703],[0.509384 0.806753 -0.008309],[0.460031 0.780942 -0.002666],[0.480587 0.804448 -0.004742],[0.494959 0.811519 -0.005811],[0.505235 0.812325 -0.006138],[0.455704 0.786061 -0.002303],[0.476018 0.808004 -0.004991],[0.489611 0.814669 -0.005699],[0.499674 0.815503 -0.005405],[0.455441 0.787112 -0.00235],[0.472493 0.806525 -0.004622],[0.484797 0.814048 -0.004788],[0.494717 0.815944 -0.004191]
35,1.16667,[0.485476 0.219916 0.005315],[0.503495 0.221851 0.003035],[0.525754 0.2231 0.004079],[0.543648 0.222532 0.007721],[0.498871 0.284095 -0.000758],[0.528812 0.284387 0.000735],[0.489133 0.198046 -0.002514],[0.540956 0.200661 -0.000424],[0.518431 0.477547 0.0],[0.513695 0.447666 -0.001167],[0.49814 0.430782 -0.00127],[0.482437 0.427205 -0.001593],[0.471074 0.425788 -0.002158],[0.488354 0.430429 -0.001256],[0.470738 0.418162 -0.004615],[0.45965 0.411129 -0.007584],[0.450747 0.405865 -0.009559],[0.480889 0.444788 -0.002668],[0.462167 0.431688 -0.005107],[0.450317 0.423225 -0.00776],[0.440744 0.416258 -0.009688],[0.476021 0.46069 -0.00433],[0.45765 0.448108 -0.006292],[0.446879 0.440288 -0.008079],[0.43855 0.433815 -0.009458],[0.473763 0.476679 -0.006034],[0.459984 0.467395 -0.007579],[0.451863 0.461566 -0.007745],[0.445582 0.456824 -0.007701],[0.431832 0.713366 -0.0],[0.455457 0.708577 -0.004992],[0.474904 0.724113 -0.006226],[0.487019 0.743134 -0.006445],[0.496254 0.758144 -0.005783],[0.466323 0.755025 -0.004848],[0.484647 0.778039 -0.007872],[0.497184 0.787109 -0.009912],[0.5065 0.791763 -0.010892],[0.45832 0.766336 -0.004045],[0.477979 0.789116 -0.006645],[0.492316 0.796832 -0.008067],[0.503267 0.7989 -0.008779],[0.45395 0.771829 -0.003742],[0.473684 0.793077 -0.006826],[0.487422 0.800439 -0.007922],[0.498375 0.802373 -0.008023],[0.453406 0.772997 -0.003799],[0.470153 0.791289 -0.006365],[0.482424 0.798969 -0.006832],[0.492849 0.801294 -0.006531]
36,1.2,[0.485207 0.220859 0.004991],[0.503163 0.222482 0.002753],[0.525144 0.223245 0.003757],[0.542886 0.222306 0.007317],[0.498136 0.283855 -7.5e-05],[0.529146 0.283896 0.001408],[0.48855 0.199331 -0.003035],[0.540152 0.200753 -0.001036],[0.524034 0.486629 0.0],[0.522596 0.458709 -0.002541],[0.507043 0.440476 -0.003298],[0.489807 0.434792 -0.003599],[0.476989 0.432539 -0.003974],[0.497202 0.440764 -0.00565],[0.476317 0.428975 -0.009311],[0.463733 0.422538 -0.011556],[0.45422 0.417856 -0.012789],[0.488644 0.455944 -0.006165],[0.46676 0.443674 -0.008922],[0.454108 0.434918 -0.01085],[0.444477 0.427499 -0.012101],[0.48243 0.471682 -0.006697],[0.461634 0.459803 -0.008696],[0.451207 0.450812 -0.009708],[0.443809 0.443204 -0.010388],[0.478496 0.485995 -0.007319],[0.462849 0.475586 -0.008733],[0.455088 0.468137 -0.008466],[0.450027 0.461735 -0.007946],[0.430547 0.695035 -0.0],[0.453333 0.689957 -0.00751],[0.474514 0.70585 -0.009943],[0.487531 0.727275 -0.010623],[0.495403 0.744271 -0.010345],[0.463265 0.735099 -0.009441],[0.481755 0.759627 -0.013805],[0.495724 0.768168 -0.01655],[0.505951 0.772106 -0.017899],[0.455254 0.746347 -0.007359],[0.474722 0.770535 -0.010336],[0.489746 0.777543 -0.011401],[0.500493 0.779266 -0.012023],[0.45064 0.751887 -0.005813],[0.469563 0.774623 -0.008952],[0.483674 0.781448 -0.009227],[0.494231 0.783453 -0.008962],[0.449346 0.753106 -0.00484],[0.464828 0.773132 -0.007621],[0.477227 0.780643 -0.007667],[0.486985 0.78276 -0.007109]
37,1.23333,[0.484185 0.220394 0.006464],[0.501829 0.222016 0.00363],[0.523963 0.222929 0.00369],[0.542023 0.222329 0.006691],[0.496745 0.28429 1.4e-05],[0.527396 0.284617 0.00022],[0.487554 0.198826 -0.001489],[0.539058 0.200488 -0.001258],[0.534528 0.496025 0.0],[0.52984 0.466579 -0.00359],[0.512349 0.449754 -0.005945],[0.493439 0.445612 -0.007351],[0.478832 0.44499 -0.009055],[0.506786 0.452965 -0.012008],[0.485416 0.442076 -0.017689],[0.472768 0.437265 -0.02066],[0.46319 0.433973 -0.022137],[0.499688 0.470818 -0.012318],[0.475923 0.46019 -0.016915],[0.462435 0.45261 -0.018612],[0.452965 0.446088 -0.019759],[0.494541 0.488345 -0.012436],[0.471843 0.479104 -0.015833],[0.460651 0.47073 -0.016725],[0.453832 0.463719 -0.017233],[0.491502 0.503375 -0.012618],[0.473502 0.494304 -0.015076],[0.464955 0.486807 -0.015212],[0.45993 0.480472 -0.014996],[0.427434 0.673953 -0.0],[0.447619 0.664652 -0.009754],[0.469905 0.67818 -0.013458],[0.484205 0.698908 -0.014685],[0.492825 0.715025 -0.015074],[0.456826 0.706799 -0.01642],[0.476126 0.731804 -0.022381],[0.489966 0.742195 -0.025075],[0.500566 0.748937 -0.026351],[0.449133 0.72016 -0.013775],[0.469335 0.748278 -0.01875],[0.485472 0.75609 -0.019653],[0.496926 0.759203 -0.019881],[0.44517 0.7273 -0.011513],[0.464941 0.752501 -0.016378],[0.480284 0.759647 -0.017158],[0.491476 0.76262 -0.016931],[0.444798 0.7296 -0.009822],[0.461906 0.750243 -0.014158],[0.475433 0.758278 -0.015091],[0.486079 0.761901 -0.015023]
38,1.26667,[0.482912 0.219617 0.006198],[0.50079 0.221145 0.003591],[0.523363 0.222248 0.004129],[0.541439 0.222005 0.007469],[0.495411 0.283246 -0.000402],[0.52641 0.283862 0.000335],[0.486485 0.198155 -0.001755],[0.538811 0.200277 -0.000611],[0.543978 0.502674 0.0],[0.53596 0.480287 -0.002752],[0.515807 0.465864 -0.003768],[0.497945 0.4616 -0.004414],[0.482995 0.460173 -0.005495],[0.507427 0.472702 -0.006612],[0.488097 0.467748 -0.011823],[0.476651 0.462769 -0.015539],[0.467898 0.458588 -0.017901],[0.504264 0.487476 -0.007633],[0.485175 0.483629 -0.011686],[0.474403 0.478062 -0.013769],[0.465646 0.47211 -0.01531],[0.503193 0.502506 -0.008927],[0.484148 0.49889 -0.012553],[0.474475 0.492472 -0.012492],[0.466873 0.485158 -0.012386],[0.504201 0.517303 -0.010407],[0.488717 0.515086 -0.01376],[0.480417 0.509687 -0.013409],[0.474231 0.503648 -0.012771],[0.429163 0.652472 -0.0],[0.443702 0.637661 -0.011215],[0.463851 0.643575 -0.016401],[0.479107 0.660295 -0.019585],[0.490046 0.674009 -0.021596],[0.458792 0.683295 -0.015435],[0.481887 0.707997 -0.022186],[0.491299 0.706808 -0.025948],[0.492148 0.702324 -0.027652],[0.454466 0.698001 -0.012065],[0.476398 0.71984 -0.016879],[0.485781 0.717012 -0.018885],[0.487669 0.712433 -0.020015],[0.451708 0.706192 -0.009372],[0.472197 0.725658 -0.01383],[0.481302 0.72233 -0.014089],[0.483971 0.717618 -0.013668],[0.450911 0.709277 -0.00744],[0.469146 0.726115 -0.011017],[0.477694 0.726371 -0.011022],[0.480321 0.723235 -0.010227]
39,1.3,[0.482337 0.218749 0.007065],[0.500335 0.220963 0.004258],[0.52327 0.2228 0.004661],[0.54163 0.222978 0.00806],[0.495676 0.28401 -0.001185],[0.526312 0.284833 -0.000661],[0.4863 0.196199 -0.000501],[0.538885 0.200192 0.000339],[0.5522 0.502964 -0.0],[0.53624 0.491957 -0.00327],[0.512929 0.48771 -0.006435],[0.494345 0.48885 -0.009011],[0.479334 0.490698 -0.012469],[0.514605 0.485272 -0.013587],[0.495407 0.495165 -0.021109],[0.48407 0.504488 -0.026481],[0.476285 0.511279 -0.030069],[0.52064 0.497049 -0.015229],[0.502668 0.50748 -0.021071],[0.489982 0.517802 -0.024782],[0.48128 0.526013 -0.028325],[0.527322 0.510805 -0.016609],[0.510177 0.521962 -0.021578],[0.497402 0.531286 -0.022656],[0.488061 0.537509 -0.023978],[0.53355 0.526298 -0.01801],[0.517953 0.53581 -0.023448],[0.506079 0.542215 -0.024444],[0.49711 0.546752 -0.024907],[0.43554 0.625356 -0.0],[0.447625 0.613532 -0.015579],[0.462467 0.614388 -0.025607],[0.469934 0.621372 -0.033837],[0.475244 0.629121 -0.040911],[0.466273 0.670282 -0.018213],[0.485771 0.681634 -0.027118],[0.487247 0.667906 -0.032901],[0.480205 0.6569 -0.035761],[0.461113 0.678598 -0.014234],[0.480499 0.689721 -0.022121],[0.48294 0.678517 -0.02662],[0.478085 0.669185 -0.028994],[0.457533 0.683073 -0.011542],[0.476055 0.694016 -0.017393],[0.479591 0.684267 -0.01912],[0.476588 0.676868 -0.019558],[0.45536 0.684417 -0.010077],[0.473439 0.696466 -0.01403],[0.478633 0.69216 -0.014453],[0.477483 0.68677 -0.013852]
40,1.33333,[0.480863 0.220275 0.007921],[0.498577 0.221591 0.004604],[0.521593 0.222357 0.004161],[0.539775 0.222025 0.007001],[0.495073 0.284423 -0.000605],[0.525116 0.284216 -0.00123],[0.483926 0.197599 0.00022],[0.536487 0.199576 -0.000617],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.411241 0.58059 -0.0],[0.430535 0.560432 -0.006522],[0.453929 0.555843 -0.010566],[0.469987 0.56525 -0.01427],[0.479294 0.577435 -0.016603],[0.463 0.605133 -0.005017],[0.485827 0.611137 -0.010394],[0.482749 0.593984 -0.014855],[0.473303 0.586285 -0.01764],[0.459593 0.615743 -0.004674],[0.481758 0.616125 -0.009436],[0.47896 0.601436 -0.012172],[0.469101 0.595408 -0.013622],[0.455021 0.621948 -0.005091],[0.475822 0.620703 -0.008554],[0.473381 0.607939 -0.007703],[0.464837 0.602336 -0.006881],[0.44935 0.624946 -0.006128],[0.468035 0.624826 -0.008815],[0.466947 0.614268 -0.006869],[0.459878 0.609105 -0.004589]
41,1.36667,[0.480557 0.219486 0.007729],[0.498126 0.221259 0.004278],[0.521045 0.222383 0.003641],[0.539229 0.222242 0.006403],[0.493927 0.284292 0.000306],[0.525013 0.284787 -0.000525],[0.483599 0.196456 -0.000382],[0.536166 0.199496 -0.001556],[0.579525 0.539182 -0.0],[0.555871 0.532287 -0.00047],[0.530661 0.545498 -0.004271],[0.515066 0.570846 -0.008359],[0.508835 0.594442 -0.013181],[0.527813 0.541067 -0.011315],[0.505306 0.577179 -0.018927],[0.50559 0.588358 -0.023438],[0.509413 0.589327 -0.025764],[0.537244 0.554188 -0.014586],[0.514451 0.590221 -0.01981],[0.515046 0.595591 -0.020975],[0.519318 0.591799 -0.022341],[0.54809 0.568182 -0.017409],[0.526025 0.601826 -0.02263],[0.528405 0.601405 -0.020357],[0.533615 0.593458 -0.018779],[0.557977 0.583274 -0.019924],[0.539316 0.608659 -0.024751],[0.541373 0.605319 -0.022169],[0.546581 0.597014 -0.019682],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None]
